cp	min_split	min_bucket	max_depth	ganancia_promedio
-1	10	2	6	58025333
-1	10	3	6	58338000
-1	10	4	6	59098667
-1	10	5	6	59924667
-1	15	1	6	57918000
-1	15	2	6	58011333
-1	15	3	6	58310000
-1	15	4	6	59061333
-1	15	5	6	59887333
-1	15	7	6	60778667
-1	20	1	6	57918000
-1	20	2	6	57969333
-1	20	3	6	58268000
-1	20	4	6	59042667
-1	20	5	6	59868667
